TITLE,SUBTITLE,RATING,IMAGE,EXTERNAL,TO,DATE_SEEN
Sword of the Stranger,"blood action dance, brilliant flute music",5,https://www.exeterphoenix.org.uk/wp-content/uploads/2018/01/sword-of-the-stranger-2.jpg,https://swordofthestranger.fandom.com/wiki/Nanashi,/film/animated,07/08/2020
When Marnie was There,spiritual story of grnd daughters and grnd mothers love,5,https://images-na.ssl-images-amazon.com/images/I/91Sruo1eOpL._SY445_.jpg,https://ghibli.fandom.com/wiki/When_Marnie_Was_There,/sitcom/movies,02/08/2020
Princess Mononoke,spirits vs humans and nature,5,https://nerdist.com/wp-content/uploads/2019/05/Princess-Mononoke-6.jpg,https://ghibli.fandom.com/wiki/Princess_Mononoke,/sitcom/movies,02/08/2020
Castle In The Sky,sins of human greed,5,https://i.pinimg.com/originals/52/27/5c/52275cf526245c3eb0bf11e98f339f98.png,https://ghibli.fandom.com/wiki/Laputa:_Castle_in_the_Sky,/sitcom/movies,01/08/2020
Porco Rosso,"sotry of kind hearted, ugly looking pig",5,https://media.timeout.com/images/101507229/image.jpg,https://ghibli.fandom.com/wiki/Porco_Rosso,/sitcom/movies,01/08/2020
Nausicaa of the valley of the wind,humans vs nature,5,https://a.ltrbxd.com/resized/sm/upload/mm/40/7r/k4/nausicaa-1200-1200-675-675-crop-000000.jpg?k=6c84fb599d,https://ghibli.fandom.com/wiki/Nausica%C3%A4_of_the_Valley_of_the_Wind,/sitcom/movies,28/07/2020
The Wind Rises,based on true story of aircraft designer,5,https://vignette.wikia.nocookie.net/studio-ghibli/images/2/2a/Jiro.jpg/revision/latest/top-crop/width/360/height/450?cb=20180915173231,https://ghibli.fandom.com/wiki/The_Wind_Rises,/sitcom/movies,28/07/2020
Howl's Moving Castle,yong mage who lost his heart,5,https://img.posterlounge.de/img/products/630000/620041/620041_poster_l.jpg,https://ghibli.fandom.com/wiki/Howl%27s_Moving_Castle,/sitcom/movies,27/07/2020
Ponyo,when a mermaid meets a young boy,5,https://img.welt.de/img/kultur/mobile101666204/8602501867-ci102l-w1024/ponyo-kleine-BM-Lifestyle-Baghdad-jpg.jpg,https://ghibli.fandom.com/wiki/Ponyo,/sitcom/movies,27/07/2020
Kikis delivery Service,young mage in training,4,https://i.pinimg.com/originals/67/00/cd/6700cdfe48e9c46f567e1f9228f553a0.jpg,https://ghibli.fandom.com/wiki/Kiki%27s_Delivery_Service,/sitcom/movies,26/07/2020
My Neighbour Totoyo,harmony with nature,5,"https://images2.minutemediacdn.com/image/upload/c_crop,h_1136,w_2024,x_0,y_0/v1554736923/shape/mentalfloss/539787_-_c_1988_studio_ghibli_1.jpg?itok=UNShfbaj",https://ghibli.fandom.com/wiki/My_Neighbor_Totoro,/sitcom/movies,26/07/2020
Whisper of the heart,love makes each other better,5,https://lwlies.com/wp-content/uploads/2020/07/whisper-of-the-heart-country-roads-1108x0-c-default.jpg,https://ghibli.fandom.com/wiki/Whisper_of_the_Heart,/sitcom/movies,25/07/2020
Spider verse,"visually stunning, movie looks like a comic book",5,https://img-www.tf-cdn.com/movie/2/spider-man-into-the-spider-verse-2018.jpeg?_v=20181214012146&fit=crop&crop=faces%20entropy&w=1200&h=630,https://marvel.fandom.com/wiki/Spider-Verse,/sitcom/movies,07/08/2020
Only Yesterday,story of a girl who wants to visit countryside,4,https://www.film-rezensionen.de/wp-content/uploads/2015/12/Traenen-der-Erinnerung-Frontpage-750x400.jpg,https://ghibli.fandom.com/wiki/Only_Yesterday,/sitcom/movies,02/80/2020
Arriety,secret world of little people,4,"https://m.media-amazon.com/images/M/MV5BMTAxNjk3OTYyODReQTJeQWpwZ15BbWU3MDgyODY2OTY@._V1_UY1200_CR90,0,630,1200_AL_.jpg",https://ghibli.fandom.com/wiki/The_Secret_World_of_Arrietty,/sitcom/movies,02/80/2020
The Cat Returns,girl enters a cat kingdom,2,https://images.static-bluray.com/reviews/12041_1.jpg,https://ghibli.fandom.com/wiki/The_Cat_Returns,/sitcom/movies,25/07/2020
The Tale of Princess Kaguya,"people of moon, O heaven O earth take me in",3,https://s3-eu-west-1.amazonaws.com/static.melkweg.nl/uploads/images/scaled/theme_slider_large/26463,https://ghibli.fandom.com/wiki/The_Tale_of_the_Princess_Kaguya,/sitcom/movies,06/07/2020
