TITLE,SUBTITLE,RATING,IMAGE,EXTERNAL,TO,DATE_SEEN
Mob Psycho 100,"telekennesis, esper",2.5,https://www.monstersandcritics.com/wp-content/uploads/2019/02/Mob-Psycho-100-Season-3-release-date-Did-One-Punch-Man-Reigen-creator-ONE-leave-room-for-a-third-season-with-the-Mob-Psycho-100-mangas-ending-Anime-spoilers-1200x675.jpg,https://mob-psycho-100.fandom.com/wiki/Mob_Psycho_100_Wiki,/,04/2020
Vinland Saga,"viking perios, very accurate to history",4,https://m.media-amazon.com/images/M/MV5BN2UwOTMwMjMtZTE5MS00YmY4LTg4YjAtZDE3ZTg3YTU5MmQ2XkEyXkFqcGdeQXVyODEyMDIxNDY@._V1_.jpg,https://vinlandsaga.fandom.com/wiki/Vinland_Saga_(anime),/vinland,04/2020
Castlevania,"14th centuary mage, vampire and vampire hunter and a dracula",5,https://i.ytimg.com/vi/jR2DcWZknoM/maxresdefault.jpg,https://castlevania.fandom.com/wiki/Castlevania_Wiki,/castlevania,04/2020
Scissor Seven,An assassin turned commoner,3.5,https://img.anime2you.de/2020/05/seven.jpg,https://www.imdb.com/title/tt11503082/,/,04/2020
Fate Grand Order,7th singularity in Babylon,4,https://upload.wikimedia.org/wikipedia/en/thumb/3/3e/FGOBabylonia.jpg/220px-FGOBabylonia.jpg,https://fategrandorder.fandom.com/wiki/Fate/Grand_Order_Wikia,/,04/2020
God Eater,arc- only weapon to kill beasts,2.5,https://upload.wikimedia.org/wikipedia/en/2/23/God_Eater_poster.png,https://godeater.fandom.com/wiki/God_Eater_(Anime),/,05/2020
kengan ashura,Arcade style fighting competition,3,https://cdn.anisearch.de/images/anime/cover/full/14/14676.jpg,https://kenganverse.fandom.com/wiki/Kengan_Ashura_(manga),/,05/2020
Deamon Slayer,artistry in colourful fights,4.5,https://images5.alphacoders.com/101/1014466.jpg,https://kimetsu-no-yaiba.fandom.com/wiki/Kimetsu_no_Yaiba_Wiki,/ds,05/2020
Fate Zero,best climarx,3,https://vignette.wikia.nocookie.net/typemoon/images/f/fe/Fate_zero_anime_1st_season.jpg/revision/latest?cb=20120720115954,https://typemoon.fandom.com/wiki/Fate/Zero,/,05/2020
Akame Ga Kill!,bloody swordfight,3,https://images7.alphacoders.com/605/605779.jpg,https://akamegakill.fandom.com/wiki/Akame_Ga_Kill!_Wiki,/,05/2020
Seven Deadly Sins,"clash among supreme deity, deamon king and other races",3,https://gritdaily.com/wp-content/uploads/2020/06/netmarble_seven-deadly-sins-grand-cross.jpg,https://en.wikipedia.org/wiki/List_of_The_Seven_Deadly_Sins_episodes,/sds,05/2020
Black butler,deamon butler protects his prey,1,"https://a2.tvspielfilm.de/imedia/5525/9905525,wpp4MF0Uvz2amvbdE0BYg37QVlXrvA4JfHv+x07nV20_TpVl8mBK99_8ObhjPDfrJ1+NzdXVZI7nLKVyq30cTw==.jpg",https://kuroshitsuji.fandom.com/wiki/Kuroshitsuji_Wiki,/,05/2020
Devilman Crybaby,deamon lives in all of us.One day world will be taken over by demons,4,https://vignette.wikia.nocookie.net/devilman/images/a/aa/Crybaby_Poster.jpg/revision/latest?cb=20170316063521,https://devilman.fandom.com/wiki/Devilman_Crybaby,/,06/2020
Death Note,detective and crime,3.5,https://images4.alphacoders.com/148/14808.jpg,https://deathnote.fandom.com/wiki/Death_Note_Wiki,/,06/2020
Attack on Titan,"fantastic music, wings of freedom",4,https://d302e0npexowb4.cloudfront.net/wp-content/uploads/2017/05/Attack-Titan-Fuji-Q-Highland-main-1200.jpg,https://attackontitan.fandom.com/wiki/Attack_on_Titan_Wiki,/aot,06/2020
The Rising of the Shield Hero,gaming anime,2,https://avatarfiles.alphacoders.com/180/180642.jpg,https://shield-hero.fandom.com/wiki/The_Rising_of_the_Shield_Hero_Wiki,/,06/2020
Fate Stay Night Unlimited Blade Works,Gilgames vs archer,3,https://images-na.ssl-images-amazon.com/images/I/71eq50NPJ9L._SL1001_.jpg,https://typemoon.fandom.com/wiki/Fate/stay_night:_Unlimited_Blade_Works,/,06/2020
Hunter x hunter,hunters possessoning a power called nen abilities,1,https://vignette.wikia.nocookie.net/hunterxhunter/images/8/89/Hunter_Exam_Arc.jpg/revision/latest/top-crop/width/360/height/450?cb=20160513015927&path-prefix=de,https://hunterxhunter.fandom.com/wiki/Hunterpedia,/hunter,06/2020
Fate Apocrypha,karna,3,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Fateapocrypha_vol.01_cover.jpg/220px-Fateapocrypha_vol.01_cover.jpg,https://typemoon.fandom.com/wiki/Fate/Apocrypha,/,06/2020
Fate Extra Last Encore,"King arthur sons, ",3,https://cdn.myanimelist.net/r/360x360/images/anime/1122/90836.jpg?s=56839d02e228ec11d655805e54297848,https://typemoon.fandom.com/wiki/Fate/EXTRA_Last_Encore,/,06/2020
Code Geass,Lelouch of the Rebellion,4,https://i1.sndcdn.com/artworks-000157604921-v65rkj-t500x500.jpg,https://codegeass.fandom.com/wiki/Code_Geass_Wiki,/,06/2020
Fate Stay Night Heaven's Feel,movie trilogy route,3,https://images-na.ssl-images-amazon.com/images/I/71HgxqDiGML._SL1246_.jpg,https://typemoon.fandom.com/wiki/Heaven%27s_Feel_(route),/,06/2020
The Legend of Korra,next generation of avatar,3,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcTu_4iVu48JGBBbcEn5lIkJQ7UlT5fZqc-H2KAepeg7CuZjopJo&usqp=CAU,https://avatar.fandom.com/wiki/The_Legend_of_Korra,/,06/2020
Saint Seiya: Knights of the Zodiac,nordic and greek myth based,2.5,https://images5.alphacoders.com/677/677430.png,https://saintseiya.fandom.com/wiki/SAINT_SEIYA:_Knights_of_the_Zodiac,/,06/2020
"Hyakuren No Haou To Seiyaku No Valkyria
The Master Of Ragnarok & Blesser Of Einherjar",Ragnarok based,3,https://vignette.wikia.nocookie.net/hyakuren/images/7/77/HyakurenVisual2.png/revision/latest?cb=20180518194157,https://hyakuren.fandom.com/wiki/The_Master_of_Ragnarok_%26_Blesser_of_Einherjar_Wiki,/,06/2020
Dr. Stone,science and invention,3.5,https://ninotaku.de/wp-content/uploads/2019/12/stone-scaled-e1576243495998.jpg,https://dr-stone.fandom.com/wiki/Dr._Stone_Wiki,/,06/2020
Full Metal Alchemist - Brotherhood,science and philosophy,5,https://vignette.wikia.nocookie.net/fma/images/a/a5/409463.jpg/revision/latest/scale-to-width-down/340?cb=20131124141158,https://fma.fandom.com/wiki/Main_Page,/,06/2020
Dororo,story of a boy who is on a mission to gain back his lost body parts,4,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/856861/856861._SX1600_QL80_TTD_.jpg,https://dororo.fandom.com/wiki/Dororo,/,06/2020
Berserk: The Golden Arc,story of a swordsman who fights deamons,4.5,https://i.ytimg.com/vi/0MIw4xzxcTU/maxresdefault.jpg,https://berserk.fandom.com/wiki/Berserk_(Manga),/berserk,06/2020
Avatar: The Last Airbender,story of avatar aang who can master all 4 elements,5,https://photos1.blogger.com/blogger/1707/3688/320/avatar.gif,https://avatar.fandom.com/wiki/Avatar:_The_Last_Airbender,/,06/2020
Cautious Hero,The Hero Is Overpowered but Overly Cautious,1.5,https://vignette.wikia.nocookie.net/kono-yuusha-ga-ore-tueee/images/d/d5/Valkyrie.png/revision/latest/top-crop/width/360/height/450?cb=20191101022801,https://cautious-hero.fandom.com/wiki/Seiya_Ryuuguuin,/,06/2020
Erased,"timepalse, revive into memories",3.4,https://jotaku.de/wp-content/uploads/2017/03/Erased-Titelbild-624x351.png,https://bokudakegainaimachi.fandom.com/wiki/Boku_Dake_ga_Inai_Machi_Wikia,/,06/2020
My Hero Academia,what it means to be a hero,4,https://www.denofgeek.com/wp-content/uploads/2019/01/my-hero-academia-season_4.jpg?resize=768%2C432,https://bokunoheroacademia.fandom.com/wiki/Hitoshi_Shinso,/mha,06/2020
Beasters,"carnivoure, short life",4,https://www.anime-rpg-city.de/wcf/images/pictureUploader/c8dccf91ea395178de71a9bd916061c58d5d298f.webp,https://beastars.fandom.com/wiki/Beastars_Wiki,/beasters,06/2020
Drifters,modern battles wit old philosophies,4,https://autofreak.com/wp-content/uploads/2020/05/Drifters-1200x900.jpg,https://drifters.fandom.com/wiki/Drifters_Wiki,/drifters,07/2020
